,date,geartype,hours,vesselIDs,iso3,label
155,2019-11,set_longlines,35.57472222,1,FJI,Fiji
156,2019-11,tuna_purse_seines,80.2275,1,FJI,Fiji
157,2019-12,drifting_longlines,13106.86944,64,FJI,Fiji
158,2019-12,set_longlines,0,1,FJI,Fiji
159,2019-12,tuna_purse_seines,71.02611111,1,FJI,Fiji
160,2020-01,drifting_longlines,7.541388889,9,FJI,Fiji
161,2020-01,drifting_longlines,9856.199444,59,FJI,Fiji
162,2020-01,fishing,10.50111111,1,FJI,Fiji
163,2020-01,tuna_purse_seines,0.461666667,1,FJI,Fiji
164,2020-02,drifting_longlines,9322.8225,53,FJI,Fiji
165,2020-02,fishing,1.091111111,1,FJI,Fiji
166,2020-03,drifting_longlines,9243.267778,58,FJI,Fiji
167,2020-03,set_longlines,201.8225,2,FJI,Fiji
168,2020-04,drifting_longlines,6366.456389,60,FJI,Fiji
169,2020-04,fishing,11.79333333,1,FJI,Fiji
170,2020-05,drifting_longlines,10221.31417,72,FJI,Fiji
171,2020-05,fishing,14.38027778,1,FJI,Fiji
172,2020-06,drifting_longlines,8421.875833,52,FJI,Fiji
173,2020-06,set_longlines,22.38833333,2,FJI,Fiji
174,2020-07,drifting_longlines,9771.863889,63,FJI,Fiji
175,2020-07,fishing,96.21027778,1,FJI,Fiji
176,2020-07,set_longlines,2.576666667,1,FJI,Fiji
177,2020-08,drifting_longlines,9712.427778,61,FJI,Fiji
178,2020-08,fishing,76.75222222,1,FJI,Fiji
179,2020-09,drifting_longlines,8091.235833,60,FJI,Fiji
180,2020-09,fishing,118.7169444,1,FJI,Fiji
181,2020-09,set_longlines,2.290833333,1,FJI,Fiji
182,2020-10,drifting_longlines,7982.7875,59,FJI,Fiji
183,2020-10,fishing,21.66583333,1,FJI,Fiji
184,2020-10,set_longlines,36.4175,1,FJI,Fiji
185,2020-11,drifting_longlines,6385.976389,44,FJI,Fiji
186,2020-11,fishing,139.1225,2,FJI,Fiji
187,2020-11,set_longlines,65.06222222,1,FJI,Fiji
188,2020-12,drifting_longlines,6882.671657,48,FJI,Fiji
189,2020-12,fishing,32.45222222,2,FJI,Fiji
190,2020-12,set_longlines,10.75630873,1,FJI,Fiji
191,2021-01,drifting_longlines,7.269166667,10,FJI,Fiji
192,2021-01,drifting_longlines,7688.415957,50,FJI,Fiji
193,2021-01,fishing,0.381944444,1,FJI,Fiji
194,2021-01,set_longlines,54.26361111,1,FJI,Fiji
